name,category,agent,data_source,data_source_type,neo4j_uri,method,description,engine_id,engine_uri,te_id
calculator,computation,analysis_agent,neo4j://calculator,neo4j,neo4j://34.134.77.114:7687,CYPHER,Perform mathematical calculations,DEFAULT,http://136.116.234.99:4001/graphql,2
top_customers_by_order_value,customer_analytics,customer_agent,neo4j://top_customers_by_order_value,neo4j,neo4j://34.134.77.114:7687,CYPHER,List top customers by value,DEFAULT,http://136.116.234.99:4001/graphql,2
top_customers_yoy_declining,customer_analytics,customer_agent,neo4j://top_customers_yoy_declining,neo4j,neo4j://34.134.77.114:7687,CYPHER,Customers whose YoY performance is declining,DEFAULT,http://136.116.234.99:4001/graphql,2
top_customers_yoy_increasing,customer_analytics,customer_agent,neo4j://top_customers_yoy_increasing,neo4j,neo4j://34.134.77.114:7687,CYPHER,Customers with increasing YoY orders,DEFAULT,http://136.116.234.99:4001/graphql,2
find_customer_by_id,customer_lookup,customer_agent,neo4j://find_customer_by_id,neo4j,neo4j://34.134.77.114:7687,CYPHER,Find a customer record by its unique ID,DEFAULT,http://136.116.234.99:4001/graphql,2
find_customer_by_name_partial,customer_lookup,customer_agent,neo4j://find_customer_by_name_partial,neo4j,neo4j://34.134.77.114:7687,CYPHER,Find customers whose names partially match,DEFAULT,http://136.116.234.99:4001/graphql,2
list_customers_with_orders_current_quarter,customer_report,customer_agent,neo4j://list_customers_with_orders_current_quarter,neo4j,neo4j://34.134.77.114:7687,CYPHER,List customers with orders this quarter,DEFAULT,http://136.116.234.99:4001/graphql,2
weather_lookup,data_retrieval,data_agent,neo4j://weather_lookup,neo4j,neo4j://34.134.77.114:7687,CYPHER,Get current weather information for a city,DEFAULT,http://136.116.234.99:4001/graphql,2
web_search,data_retrieval,data_agent,neo4j://web_search,neo4j,neo4j://34.134.77.114:7687,CYPHER,Search the web for information,DEFAULT,http://136.116.234.99:4001/graphql,2
data_validator,data_validation,analysis_agent,neo4j://data_validator,neo4j,neo4j://34.134.77.114:7687,CYPHER,Validate data format and structure,DEFAULT,http://136.116.234.99:4001/graphql,2
file_reader,file_operations,system_agent,neo4j://file_reader,neo4j,neo4j://34.134.77.114:7687,CYPHER,Read and return contents of a text file,DEFAULT,http://136.116.234.99:4001/graphql,2
dependency_inspector_noop,internal,dependency_agent,neo4j://dependency_inspector_noop,neo4j,neo4j://34.134.77.114:7687,CYPHER,Internal placeholder tool for dependency agent (no-op),DEFAULT,http://136.116.234.99:4001/graphql,2
planner_helper_noop,internal,planner_agent,neo4j://planner_helper_noop,neo4j,neo4j://34.134.77.114:7687,CYPHER,Internal placeholder tool for planner agent (no-op),DEFAULT,http://136.116.234.99:4001/graphql,2
find_negative_news_impacting_supplier_by_name,news_lookup,news_agent,neo4j://find_negative_news_impacting_supplier_by_name,neo4j,neo4j://34.134.77.114:7687,CYPHER,Find negative news impacting supplier (name),DEFAULT,http://136.116.234.99:4001/graphql,2
find_negative_news_impacting_supplier_by_symbol,news_lookup,news_agent,neo4j://find_negative_news_impacting_supplier_by_symbol,neo4j,neo4j://34.134.77.114:7687,CYPHER,Find negative news by stock symbol,DEFAULT,http://136.116.234.99:4001/graphql,2
find_negative_news_within_radius,news_lookup,news_agent,neo4j://find_negative_news_within_radius,neo4j,neo4j://34.134.77.114:7687,CYPHER,Find negative news within a radius,DEFAULT,http://136.116.234.99:4001/graphql,2
find_news_impacting_supplier_by_name,news_lookup,news_agent,neo4j://find_news_impacting_supplier_by_name,neo4j,neo4j://34.134.77.114:7687,CYPHER,Find news impacting supplier (by name),DEFAULT,http://136.116.234.99:4001/graphql,2
